auctions,repetition,bidders,true_reserve,method,reserve_estimate,reserve_error,absolute_reserve_error,revenue_regret,max_bid_w1,latent_value_w1
500,1,5,0.7718567076821209,Direct inversion,0.8199292897262774,0.04807258204415654,0.04807258204415654,0.00012322455504376606,,
500,1,5,0.7718567076821209,WGAN-GP,0.7982268929481506,0.026370185266029744,0.026370185266029744,3.209443181972915e-05,0.04594766577879881,0.11857278588653979
500,2,5,0.7718567076821209,Direct inversion,0.8895461394685334,0.11768943178641256,0.11768943178641256,0.0011234999416713798,,
500,2,5,0.7718567076821209,WGAN-GP,0.7485918998718262,-0.02326480781029472,0.02326480781029472,1.7544682855419325e-05,0.03368178122858818,0.10097608169718728
500,3,5,0.7718567076821209,Direct inversion,0.8132457069570891,0.0413889992749682,0.0413889992749682,8.742972959585593e-05,,
500,3,5,0.7718567076821209,WGAN-GP,0.6587429642677307,-0.11311374341439018,0.11311374341439018,0.0002048668545466814,0.039054580625045895,0.05040031065592828
500,4,5,0.7718567076821209,Direct inversion,0.867908126088497,0.0960514184063761,0.0960514184063761,0.0006615631983915016,,
500,4,5,0.7718567076821209,WGAN-GP,0.7711707353591919,-0.000685972322928996,0.000685972322928996,1.7995091194933366e-08,0.037339303362276456,0.10235484739384038
500,5,5,0.7718567076821209,Direct inversion,0.7320805374795188,-0.039776170202602046,0.039776170202602046,4.5298139046412444e-05,,
500,5,5,0.7718567076821209,WGAN-GP,0.673907995223999,-0.09794871245812187,0.09794871245812187,0.0001737488991440106,0.03880712070652326,0.060164221798696696
2000,1,5,0.7718567076821209,Direct inversion,0.7828352810051603,0.01097857332303942,0.01097857332303942,5.002254313879462e-06,,
2000,1,5,0.7718567076821209,WGAN-GP,0.8064436316490173,0.03458692396689644,0.03458692396689644,5.835685103616761e-05,0.03393016941474522,0.12588356065720974
2000,2,5,0.7718567076821209,Direct inversion,0.7763700092210817,0.00451330153896079,0.00451330153896079,8.077872510892092e-07,,
2000,2,5,0.7718567076821209,WGAN-GP,0.6939581632614136,-0.07789854442070732,0.07789854442070732,0.00012908168556680089,0.027511092700268795,0.05279469219529433
2000,3,5,0.7718567076821209,Direct inversion,0.7647397798109236,-0.007116927871197332,0.007116927871197332,1.8480818244626107e-06,,
2000,3,5,0.7718567076821209,WGAN-GP,0.7185553908348083,-0.05330131684731254,0.05330131684731254,7.331738515459207e-05,0.027460496753426003,0.06284770943832217
2000,4,5,0.7718567076821209,Direct inversion,0.8047359150391505,0.03287920735702965,0.03287920735702965,5.213647638369068e-05,,
2000,4,5,0.7718567076821209,WGAN-GP,0.7238961458206177,-0.047960561861503215,0.047960561861503215,6.185943577996511e-05,0.04275593844934102,0.06418587864849849
2000,5,5,0.7718567076821209,Direct inversion,0.8523768627208971,0.08052015503877619,0.08052015503877619,0.00042386845773489945,,
2000,5,5,0.7718567076821209,WGAN-GP,0.7059938311576843,-0.06586287652443656,0.06586287652443656,0.0001014927766540552,0.03682986712602971,0.05087806604900537
10000,1,5,0.7718567076821209,Direct inversion,0.7684781470349438,-0.00337856064717712,0.00337856064717712,4.278833105608726e-07,,
10000,1,5,0.7718567076821209,WGAN-GP,0.7725210785865784,0.0006643709044574786,0.0006643709044574786,1.696343954193935e-08,0.03166387053685253,0.08864009609162479
10000,2,5,0.7718567076821209,Direct inversion,0.7135880382282656,-0.05826866945385534,0.05826866945385534,8.430234870027142e-05,,
10000,2,5,0.7718567076821209,WGAN-GP,0.7475678324699402,-0.024288875212180705,0.024288875212180705,1.897825533725417e-05,0.04249139602068533,0.08637143783005011
10000,3,5,0.7718567076821209,Direct inversion,0.804289890184666,0.03243318250254512,0.03243318250254512,5.0579817253204595e-05,,
10000,3,5,0.7718567076821209,WGAN-GP,0.7120605707168579,-0.05979613696526298,0.05979613696526298,8.77286245841713e-05,0.04006953655330345,0.061336640712795126
10000,4,5,0.7718567076821209,Direct inversion,0.6764290552736291,-0.09542765240849183,0.09542765240849183,0.00016831329509869875,,
10000,4,5,0.7718567076821209,WGAN-GP,0.6573306322097778,-0.11452607547234306,0.11452607547234306,0.0002076102011063785,0.046053670993355354,0.04235197616799816
10000,5,5,0.7718567076821209,Direct inversion,0.8351418119904465,0.06328510430832557,0.06328510430832557,0.00023539135491112972,,
10000,5,5,0.7718567076821209,WGAN-GP,0.7337998151779175,-0.03805689250420341,0.03805689250420341,4.2012215787812224e-05,0.03507436298539224,0.07492529897616745
