auctions,repetition,bandwidth_exponent,method,bandwidth,true_reserve,population_target,population_target_bias,reserve_estimate,reserve_error,target_error,standard_error,ci_lower,ci_upper,covers_exact_reserve,covers_population_target,small_bandwidth_roots,large_bandwidth_roots,any_multiple_roots,any_missing_root,root_gap,estimate_outside_grid
500,1,0.2,$n^{-0.2}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.8360779981307529,0.064221290448632,0.0042446124043548,0.0328692638070304,0.7716542410689732,0.9005017551925326,True,True,1,1,False,False,0.02203547300083,False
500,1,0.2,$n^{-0.2}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.8140425251299229,0.042185817447802,0.0153354517713848,0.0481204303390743,0.7197264816653373,0.9083585685945086,True,True,1,1,False,False,0.02203547300083,False
500,1,0.35,$n^{-0.35}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.8360779981307529,0.064221290448632,0.0042446124043548,0.0328692638070304,0.7716542410689732,0.9005017551925326,True,True,1,1,False,False,0.02203547300083,False
500,1,0.35,$n^{-0.35}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.8140425251299229,0.042185817447802,0.0153354517713848,0.0481204303390743,0.7197264816653373,0.9083585685945086,True,True,1,1,False,False,0.02203547300083,False
500,2,0.2,$n^{-0.2}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.8216972926083016,0.0498405849261807,-0.0101360931180964,0.0343664184412456,0.7543391124634601,0.8890554727531431,True,True,1,1,False,False,0.029483520761388,False
500,2,0.2,$n^{-0.2}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7922137718469137,0.0203570641647927,-0.0064933015116244,0.0524755388578728,0.689361715685483,0.8950658280083443,True,True,1,1,False,False,0.029483520761388,False
500,2,0.35,$n^{-0.35}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.8216972926083016,0.0498405849261807,-0.0101360931180964,0.0343664184412456,0.7543391124634601,0.8890554727531431,True,True,1,1,False,False,0.029483520761388,False
500,2,0.35,$n^{-0.35}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7922137718469137,0.0203570641647927,-0.0064933015116244,0.0524755388578728,0.689361715685483,0.8950658280083443,True,True,1,1,False,False,0.029483520761388,False
500,3,0.2,$n^{-0.2}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.7814786912868447,0.0096219836047237,-0.0503546944395534,0.0201019457172387,0.7420788776810566,0.8208785048926327,True,False,1,1,False,False,0.0458883988635221,False
500,3,0.2,$n^{-0.2}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7355902924233226,-0.0362664152587982,-0.0631167809352154,0.0287621657920844,0.6792164474708372,0.7919641373758081,True,False,1,1,False,False,0.0458883988635221,False
500,3,0.35,$n^{-0.35}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.7814786912868447,0.0096219836047237,-0.0503546944395534,0.0201019457172387,0.7420788776810566,0.8208785048926327,True,False,1,1,False,False,0.0458883988635221,False
500,3,0.35,$n^{-0.35}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7355902924233226,-0.0362664152587982,-0.0631167809352154,0.0287621657920844,0.6792164474708372,0.7919641373758081,True,False,1,1,False,False,0.0458883988635221,False
500,4,0.2,$n^{-0.2}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.7793139159301039,0.007457208247983,-0.0525194697962941,0.0162882659259153,0.7473889147153098,0.811238917144898,True,False,1,1,False,False,0.0443182601786702,False
500,4,0.2,$n^{-0.2}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7349956557514338,-0.0368610519306871,-0.0637114176071043,0.0224075294800232,0.6910768979705882,0.7789144135322793,True,False,1,1,False,False,0.0443182601786702,False
500,4,0.35,$n^{-0.35}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.7793139159301039,0.007457208247983,-0.0525194697962941,0.0162882659259153,0.7473889147153098,0.811238917144898,True,False,1,1,False,False,0.0443182601786702,False
500,4,0.35,$n^{-0.35}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7349956557514338,-0.0368610519306871,-0.0637114176071043,0.0224075294800232,0.6910768979705882,0.7789144135322793,True,False,1,1,False,False,0.0443182601786702,False
500,5,0.2,$n^{-0.2}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.7992880387258973,0.0274313310437763,-0.0325453470005008,0.0373276357242413,0.7261258727063842,0.8724502047454104,True,True,1,1,False,False,0.0669368973174544,False
500,5,0.2,$n^{-0.2}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7323511414084429,-0.0395055662736779,-0.0663559319500951,0.0576236929223646,0.6194087032806082,0.8452935795362777,True,True,1,1,False,False,0.0669368973174544,False
500,5,0.35,$n^{-0.35}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.7992880387258973,0.0274313310437763,-0.0325453470005008,0.0373276357242413,0.7261258727063842,0.8724502047454104,True,True,1,1,False,False,0.0669368973174544,False
500,5,0.35,$n^{-0.35}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7323511414084429,-0.0395055662736779,-0.0663559319500951,0.0576236929223646,0.6194087032806082,0.8452935795362777,True,True,1,1,False,False,0.0669368973174544,False
500,6,0.2,$n^{-0.2}$ DML,0.15,0.7718567076821209,0.8318333857263981,0.0599766780442772,0.8172847080063002,0.0454280003241792,-0.0145486777200979,0.0309016806792965,0.7567174138748789,0.8778520021377214,True,True,1,1,False,False,0.0311281122995982,False
500,6,0.2,$n^{-0.2}$ Richardson,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.786156595706702,0.0142998880245811,-0.012550477651836,0.0470941031698063,0.6938521534938816,0.8784610379195225,True,True,1,1,False,False,0.0311281122995982,False
