auctions,method,repetitions,true_reserve,mean_estimate,bias,standard_deviation,rmse,mean_revenue_regret,mean_max_bid_w1,mean_latent_value_w1
500,Direct inversion,5,0.7718567076821209,0.8245419599439832,0.05268525226186227,0.06083618253960161,0.07574013923072392,0.00040820311274978314,,
500,WGAN-GP,5,0.7718567076821209,0.7301280975341797,-0.0417286101479412,0.06107248400152998,0.06873976684985605,8.565457269140708e-05,0.03896609034024652,0.08649364948643848
2000,Direct inversion,5,0.7718567076821209,0.7962115695594426,0.02435486187732174,0.03460596330075487,0.03938549801439579,9.673261150160428e-05,,
2000,WGAN-GP,5,0.7718567076821209,0.7297694325447083,-0.04208727513741264,0.04440413625355549,0.05786813096715435,8.482162683831618e-05,0.033697512888762146,0.07131798139766601
10000,Direct inversion,5,0.7718567076821209,0.7595853885423901,-0.01227131913973072,0.06484033995819785,0.05927900996259011,0.00010780293985477308,,
10000,WGAN-GP,5,0.7718567076821209,0.7246559858322144,-0.047200721849906535,0.043563106977556575,0.061205421122500867,7.126925205103163e-05,0.03907056741791778,0.07072508995572713
