auctions,repetitions,bidders,true_reserve,mean_estimate,bias,standard_deviation,rmse,median_absolute_error,mean_revenue_regret,p90_revenue_regret
200,500,5,0.7718567076821209,0.9053134923963917,0.1334567847142707,0.07939816168515473,0.15524874662648716,0.13143732999186153,0.003152907466763922,0.00905455210092665
500,500,5,0.7718567076821209,0.8446427087655145,0.07278600108339364,0.06349107352994487,0.09654458109526749,0.06682513183229305,0.0008961508966588849,0.0026985463180292826
2000,500,5,0.7718567076821209,0.79602682134299,0.024170113660869064,0.05558207563222761,0.06055892000112639,0.039699066558410934,0.00024212134303471268,0.0007752998945821825
10000,500,5,0.7718567076821209,0.7584468775252076,-0.01340983015691329,0.05134714904161191,0.05301962089745046,0.03877923518900178,8.595874759208976e-05,0.00019691812649480503
