dgp,bidders,auctions,repetition,exact_reserve,regularized_target,population_root_count,dml_estimate,dml_target_error,dml_exact_error,standard_error,ci_lower,ci_upper,covers_regularized_target,covers_exact_reserve,sample_root_count,direct_estimate,direct_exact_error,maxima_below_exact_reserve
Baseline,3,2000,1,0.7718567077226953,0.819023409985223,1,0.803215569383255,-0.01580784060196805,0.03135886166055968,0.012505568205415957,0.7787046557006397,0.8277264830658703,True,False,1,0.7139343758768045,-0.057922331845890795,63
Baseline,3,2000,2,0.7718567077226953,0.819023409985223,1,0.81323282455393,-0.005790585431293072,0.041376116831234655,0.012178571480588313,0.7893628244519769,0.837102824655883,True,False,1,0.7435920892785481,-0.028264618444147183,57
Baseline,3,2000,3,0.7718567077226953,0.819023409985223,1,0.8170997062543249,-0.0019237037308981186,0.04524299853162961,0.013225618985539282,0.7911774930426679,0.8430219194659819,True,False,1,0.7154072968108925,-0.05644941091180278,71
Baseline,3,2000,4,0.7718567077226953,0.819023409985223,1,0.8232313142705652,0.004207904285342123,0.05137460654786985,0.012353956879724213,0.7990175587863058,0.8474450697548246,True,False,1,0.8139885943911764,0.04213188666848111,58
Baseline,3,2000,5,0.7718567077226953,0.819023409985223,1,0.8280086488217732,0.008985238836550113,0.05615194109907784,0.012033010989463617,0.8044239472824245,0.8515933503611218,True,False,1,0.8197130630612325,0.04785635533853716,54
Baseline,3,2000,6,0.7718567077226953,0.819023409985223,1,0.8051254910276701,-0.01389791895755299,0.033268783304974736,0.011865419941819834,0.7818692679417032,0.8283817141136369,True,False,1,0.7789466255622742,0.0070899178395789075,51
Baseline,3,2000,7,0.7718567077226953,0.819023409985223,1,0.8186298928424136,-0.00039351714280944083,0.046773185119718286,0.011578823125452376,0.7959353995165269,0.8413243861683003,True,False,1,0.8407813057947762,0.06892459807208084,62
Baseline,3,2000,8,0.7718567077226953,0.819023409985223,1,0.8116714446456652,-0.007351965339557842,0.039814736922969884,0.011939050751566349,0.7882709051725951,0.8350719841187353,True,False,1,0.7792739557991076,0.007417248076412308,45
Baseline,3,2000,9,0.7718567077226953,0.819023409985223,1,0.800702109934497,-0.018321300050726075,0.028845402211801652,0.011424344918178902,0.7783103938948663,0.8230938259741276,True,False,1,0.7525962499750002,-0.019260457747695137,48
Baseline,3,2000,10,0.7718567077226953,0.819023409985223,1,0.8330024931990279,0.01397908321380481,0.06114578547633254,0.013655562879277085,0.8062375899556448,0.859767396442411,True,False,1,0.6767847619045972,-0.09507194581809808,63
