auctions,method,repetitions,true_reserve,regularized_target,mean_estimate,bias_exact,rmse_exact,bias_regularized,rmse_regularized,mean_revenue_regret,mean_standard_error,regularized_coverage
500,Direct inversion,5,0.7718567076821209,0.8318283572057762,0.8245419599439832,0.052685252261862256,0.0757401392307239,-0.007286397261793032,0.05489922103135933,0.00040820311274975365,,
500,WGAN-GP,5,0.7718567076821209,0.8318283572057762,0.7301280975341797,-0.04172861014794116,0.068739766849856,-0.1017002596715965,0.11544185315111614,8.565457269138869e-05,,
500,Fold-averaged WGAN,5,0.7718567076821209,0.8318283572057762,0.7393199046452841,-0.03253680303683682,0.03679691543614453,-0.09250845256049216,0.09409135576073759,3.666515075697596e-05,,
500,Orthogonal WGAN-DML,5,0.7718567076821209,0.8318283572057762,0.8623368879449013,0.09048018026278033,0.13551901285828571,0.030508530739125028,0.10540166162617703,0.0028389333181674916,0.03743120209827326,0.4
2000,Direct inversion,5,0.7718567076821209,0.8318283572057762,0.7962115695594426,0.0243548618773217,0.03938549801439573,-0.03561678764633356,0.047187007947342596,9.673261150158439e-05,,
2000,WGAN-GP,5,0.7718567076821209,0.8318283572057762,0.7297694325447083,-0.042087275137412616,0.05786813096715431,-0.10205892466106795,0.10951440981036696,8.482162683830496e-05,,
2000,Fold-averaged WGAN,5,0.7718567076821209,0.8318283572057762,0.7528918266296387,-0.018964881052482202,0.026990968717604324,-0.07893653057613755,0.08123928568357427,2.1677215268489648e-05,,
2000,Orthogonal WGAN-DML,5,0.7718567076821209,0.8318283572057762,0.8748550721527939,0.10299836447067309,0.10462665389160572,0.0430267149470178,0.0467907236538629,0.0008504064951263324,0.026894770997821338,0.6
10000,Direct inversion,5,0.7718567076821209,0.8318283572057762,0.7595853885423901,-0.012271319139730721,0.05927900996259008,-0.07224296866338602,0.0926415795958527,0.00010780293985474738,,
10000,WGAN-GP,5,0.7718567076821209,0.8318283572057762,0.7246559858322144,-0.04720072184990652,0.06120542112250083,-0.10717237137356184,0.114035576104403,7.126925205101593e-05,,
10000,Fold-averaged WGAN,5,0.7718567076821209,0.8318283572057762,0.7532121300697326,-0.01864457761238816,0.027356864010136307,-0.0786162271360435,0.08112514347124884,2.06972332602362e-05,,
10000,Orthogonal WGAN-DML,5,0.7718567076821209,0.8318283572057762,0.8981829555795338,0.12632624789741298,0.12761069549867343,0.06635459837375768,0.06876846241671543,0.0014223245362154024,0.011488595800928546,0.0
